lat,lon,time,username,user_objId,distance,duration
42.05270785,-87.67706634,2015-08-19T18:02:20.811Z,Delta 6,o3hqpXNKDJ,5.630949,1
42.05270785,-87.67706634,2015-08-19T18:02:21.810Z,Delta 6,o3hqpXNKDJ,5.630949,2
42.05270785,-87.67706634,2015-08-19T18:02:22.811Z,Delta 6,o3hqpXNKDJ,5.630949,3
42.05271284,-87.67705402,2015-08-19T18:02:23.811Z,Delta 6,o3hqpXNKDJ,6.791694,4
42.05271284,-87.67705402,2015-08-19T18:02:24.810Z,Delta 6,o3hqpXNKDJ,6.791694,5
42.05272637,-87.67705578,2015-08-19T18:02:25.811Z,Delta 6,o3hqpXNKDJ,8.302368,6
42.05274154,-87.67705738,2015-08-19T18:02:26.811Z,Delta 6,o3hqpXNKDJ,9.992701,7
42.05275781,-87.6770578,2015-08-19T18:02:27.812Z,Delta 6,o3hqpXNKDJ,11.79925,8
42.05277796,-87.67705687,2015-08-19T18:02:28.811Z,Delta 6,o3hqpXNKDJ,14.03971,9
42.05280261,-87.67705344,2015-08-19T18:02:29.811Z,Delta 6,o3hqpXNKDJ,16.79171,10
42.05282222,-87.6770521,2015-08-19T18:02:30.811Z,Delta 6,o3hqpXNKDJ,18.97317,11
42.05283727,-87.67705101,2015-08-19T18:02:31.811Z,Delta 6,o3hqpXNKDJ,20.64682,12
42.05286174,-87.67705704,2015-08-19T18:02:32.811Z,Delta 6,o3hqpXNKDJ,23.41098,13
42.05289078,-87.67706232,2015-08-19T18:02:33.811Z,Delta 6,o3hqpXNKDJ,26.66652,14
42.05291698,-87.67706593,2015-08-19T18:02:34.811Z,Delta 6,o3hqpXNKDJ,29.59128,15
42.05294112,-87.67706492,2015-08-19T18:02:35.811Z,Delta 6,o3hqpXNKDJ,32.27397,16
42.05296798,-87.67706199,2015-08-19T18:02:36.810Z,Delta 6,o3hqpXNKDJ,35.26782,17
42.05299371,-87.67706023,2015-08-19T18:02:37.811Z,Delta 6,o3hqpXNKDJ,38.12983,18
42.05301857,-87.67705989,2015-08-19T18:02:38.810Z,Delta 6,o3hqpXNKDJ,40.8905,19
42.05303793,-87.67706173,2015-08-19T18:02:39.810Z,Delta 6,o3hqpXNKDJ,43.04662,20
42.05305846,-87.67706165,2015-08-19T18:02:40.811Z,Delta 6,o3hqpXNKDJ,45.32767,21
42.0530826,-87.67705888,2015-08-19T18:02:41.811Z,Delta 6,o3hqpXNKDJ,48.01883,22
42.05310716,-87.67705654,2015-08-19T18:02:42.810Z,Delta 6,o3hqpXNKDJ,50.75369,23
42.0531313,-87.67705511,2015-08-19T18:02:43.811Z,Delta 6,o3hqpXNKDJ,53.43768,24
